Company Name,Address,Phone,Business Type
CORONA ENGINEERING GROUP,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old), Dhaka- 1209, Bangladesh","+880-2-48110223, 58157931, 9133653, 9141792, 48111154, 01711-695862, 01711-686819, 01711-628704",Electrical Industry
Corny Fashion Ltd.,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old), Dhaka- 1209, Bangladesh","+880-2-9133653, 8121519, 8130537, 8121201, 9141792",Electrical Motor Starter
CORONA ENGINEERING GROUP,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old); Dhanmondi, Dhaka- 1209, Bangladesh","+880-2-48110223, 58157931, 9133653, 9141792, 48111154, 01711-695862",Electrical Overhead LT & HT Equipment & Spares
CORONA ENGINEERING GROUP,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old), Dhaka- 1209, Bangladesh","+880-2-9133653, 8121519, 8130537, 8121201, 9141792",Electrical Motor Starter
Cordil Apparels Ltd.,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old), Dhaka- 1209, Bangladesh","+88-01711-695862, 01711-686819, 01711-628704",Electrical Goods Dealers & Sellers
CORONA ENGINEERING GROUP,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old) Dhanmondi, Dhaka- 1209, Bangladesh","+88-01711-695862, 01711-686819, 01711-628704",Electrical Equipment & spare parts
CORONA ENGINEERING GROUP,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old) Dhanmondi, Dhaka- 1209, Bangladesh","+88-01711-695862, 01711-686819, 01711-628704",Electrical Equipment & spare parts
CORONA ENGINEERING GROUP,"86, Inner Circular (VIP) Road, Kazi Tower (3rd, 4th & 11th Floor), Dhaka- 1000, Bangladesh","+880-2-9333764, 8312104, 9350473, 9362527, 01711-898667",Computer Education & Training Centres
CORONA ENGINEERING GROUP,"Concord Royal Court (3rd Floor) House # 40; Road # 16(New), 27 (Old), Dhaka- 1209, Bangladesh","+88-01711-695862, 01711-686819, 01711-628704",Electrical Goods Dealers & Sellers
Corona Group,"86, Inner Circular (VIP) Road, Kazi Tower (3rd, 4th & 11th Floor), Dhaka- 1000, Bangladesh","+880-2-9333764, 8312104, 9350473, 9362527, 01711-898667",Computer Education & Training Centres
Corona Industries Ltd.,"86, Inner Circular (VIP) Road, Kaji Tower (3rd, 4th & 11th Floor) Naya Paltan, Dhaka- 1000, Bangladesh","+880-2-9333764, 8312104, 9350473, 9362527, 0171 -1898667",Power Tillers & Tractors
Corona Group,"86, Inner Circular (VIP) Road, Kaji Tower (3rd, 4th & 11th Floor) Naya Paltan, Dhaka- 1000, Bangladesh","+880-2-9333764, 8312104, 9350473, 9362527, 0171-1898667","Web Design, developing & domain-hosting company"
Corona Group,"86, Inner Circular (VIP) Road, Kaji Tower (3rd, 4th & 11th Floor) Naya Paltan, Dhaka- 1000, Bangladesh","+880-2-9333764, 8312104, 9350473, 9362527, 0171-1898667","Web Design, developing & domain-hosting company"
CORONA ENGINEERING GROUP,"Royal Court (3rd Floor) House # 40, Road # 16(New), 27 (Old, Dhanmondi), Dhaka- 1209, Bangladesh","+880-2-48110223, 58157931, 9133653, 9141792, 48111154, 01711-695862, 01711-686819, 01711-628704",Circuit Breaker
Corona International,"Royal Court (3rd Floor) House # 40, Road # 16(New), 27 (Old, Dhanmondi), Dhaka- 1209, Bangladesh","+880-2-48110223, 58157931, 9133653, 9141792, 48111154, 01711-695862, 01711-686819, 01711-628704",Circuit Breaker
Corporate Solutions,"Sahera Tropical Center (4th Floor), 218, Dr. Kudrat-E-Khoda Road, Dhaka- 1205, Bangladesh","+880-2-9674443, 01714-222097",Computer Sales & Distributor
Corporate Station Bangladesh,"House- 75 (B2), Road- 04, Block- B, Niketon, Gulshan- 01, Dhaka- 1212, Bangladesh","+88-02-9891485, 01911-448155, 01712-034354",Contractors
Corr-The Jute Woreds,"Humayun Center Ka-16/6, South Badda, Hatirjheel Lake side, Dhaka- 1212, Bangladesh",+8-01712-085704,Electrical Substation & Substation Equipment
Cosectra Consortium,"House- 75 (B2), Road- 04, Block- B, Niketon, Gulshan- 01, Dhaka- 1212, Bangladesh","+88-02-9891485, 01911-448155, 01712-034354",Contractors
COS TECHNOLOGIES,"35/1, Kakrail, Dhaka- 1000, Bangladesh","+880-2-9347926-7, 01716-109904","Car / Automobile Distributor, Display & Sales Center"
Correct Engineering Service Ltd.,"Humayun Center Ka-16/6, South Badda, Hatirjheel Lake side, Dhaka- 1212, Bangladesh",+8-01712-085704,Electrical Substation & Substation Equipment
Cosmic Cars,"35/1, Kakrail, Dhaka- 1000, Bangladesh","+880-2-9347926-7, 01716-109904","Car / Automobile Distributor, Display & Sales Center"
Cosmic Group,"House # 31, Road # 17, Block-E, Banani, Dhaka- 1213, Bangladesh","+88-02-8836011, 8836022, 8836033",Break Bulk Agent
Cosmic Holdings Ltd.,"6/1-A, Block -F, Lalmatia Housing Soceity, Dhaka- 1207, Bangladesh","+880-2-8128385, 8128797, 01711-687232",Poultry Marketing & Consultancy
Cosmic Marketing Ltd.,"6/1-A, Block -F, Lalmatia Housing Soceity, Dhaka- 1207, Bangladesh","+880-2-8128385, 8128797, 01711-687232",Poultry Marketing & Consultancy
"Cosmodent Dental Care, Dhaka.","House # 78, 1st floor Outer Circular road, Moghbazar Plaza (Opposite Moghbazar Aarong), Dhaka- 1217, Bangladesh",+88-01771-810074,Dental Clinic & Dentists
"COSMODENT DENTAL CARE, Orthodontics & Implant Center","Summit Centre, 18, Karwan Bazar C/A, Dhaka- 1215, Bangladesh",+880-2-9130845-52,Share & Security Broker House
Cosmo (Bangladesh) Ltd.,"58 (Old), 70 (New) Nayamati, Narayanganj- 1400, Bangladesh",+88-02-7644200,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cosmopolitan Traders (Pvt.) Limited (Summit Holdings Limited),"Summit Centre, 18, Karwan Bazar C/A, Dhaka- 1215, Bangladesh",+880-2-9130845-52,Share & Security Broker House
Cosmopolitan Laboratory School And College,"Cosmos Center, 69/1 New Circular Road, Malibagh, Dhaka- 1217, Bangladesh","+880-2-8312024, 9356522, 9351137",Energy Management Consultant
Cosmo Knitwear (Pvt.) Ltd.,"58 (Old), 70 (New) Nayamati, Narayanganj- 1400, Bangladesh",+88-02-7644200,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cosmos Group of Companies,"Cosmos Center, 69/1 New Circular Road, Malibagh, Dhaka- 1217, Bangladesh","+880-2-8312024, 9356522, 9351137",Energy Management Consultant
Cotec Bangladesh,"69-71 Mirpur Road, Shop#904, Multiplan Centre, Dhaka- 1205, Bangladesh","+880-2-9613655, 01713-160501",Computer Sales & Distributor
Cotheeka Jute Industry,"House No.: 39 (L-08), Road # 15 (Rabindra Sharani), Sector # 03, Uttara Model Town, Dhaka- 1230, Bangladesh",+88-02-48954089,Textile Machinery & Parts
Cosmos Group,"Ibrahim Mansion (3rd floor), 11, Purana paltan, Dhaka- 1000, Bangladesh",+880-2-9558298,Construction Companies
cott-tex 2012,"House No.: 39 (L-08), Road # 15 (Rabindra Sharani), Sector # 03, Uttara Model Town, Dhaka- 1230, Bangladesh",+88-02-48954089,Textile Machinery & Parts
Cosmotech Foundation Ltd.,"Ibrahim Mansion (3rd floor), 11, Purana paltan, Dhaka- 1000, Bangladesh",+880-2-9558298,Construction Companies
Cotton & Cotton Apparels,"115/116-A, Bscic Shilpanagari Fatullah, Narayanganj- 1400, Bangladesh","+88-02-7601855, 7601859, 9893742, 9884149, 9861706",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Concern (Bd) Ltd.,"Hossains & Co. Road, Police Line, Fatullah, Narayanganj- 1400, Bangladesh","+88-02-7632160, 01678-175299",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Clout (Bd) Ltd.,"65/2, Nayamati Road, Narayanganj- 1400, Bangladesh","+88-02-7614847, 7615424, 7615434",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Power,"Hossains & Co. Road, Police Line, Fatullah, Narayanganj- 1400, Bangladesh","+88-02-7632160, 01678-175299",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Fair (Pvt) Ltd.,"65/2, Nayamati Road, Narayanganj- 1400, Bangladesh","+88-02-7614847, 7615424, 7615434",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Harvest Ltd.,"Sayed M Hossain Road, West Isdair, Police Line, Fatullah, Narayanganj- 1400, Bangladesh","+88-02-7632224, 01711-331776",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Shine (Pvt) Ltd.,"55/1, S. M Maleh Road, Farzana Tower (3rd Floor) Tanbazar, Narayanganj- 1400, Bangladesh","+88-02-7615108, 7615109",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Power Excel Knit Ltd.,"Sayed M Hossain Road, West Isdair, Police Line, Fatullah, Narayanganj- 1400, Bangladesh","+88-02-7632224, 01711-331776",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Cotton Textile & Apparels Ltd.,"Sena Kalyan Bhaban, Level – 17 Suite # 1705, 195 Motijheel C/A, Dhaka- 1000, Bangladesh",+88-01740-745 851,Cotton Suppliers
Cotton Valley Knitwears Ltd.,"Saudi Export Devpt. Center, Al-dabab Street, P.O. Box 16683, Riyadh 11474, SAUDI ARABIA",(9661) 4053200,International Chamber of Commerce
Council of Saudi Chambers of Commerce and Industry,"Saudi Export Devpt. Center, Al-dabab Street, P.O. Box 16683, Riyadh 11474, SAUDI ARABIA",(9661) 4053200,International Chamber of Commerce
COTTON VILLAGE INTERNATIONAL,"Sena Kalyan Bhaban, Level – 17 Suite # 1705, 195 Motijheel C/A, Dhaka- 1000, Bangladesh",+88-01740-745 851,Cotton Suppliers
Counter Hause,"Suite # 856-57, 8th Floor, Suvastu Arcade, 46-48, New Elephant Road, Dhaka- 1205, Bangladesh","+88-02-9612684, 01911-680706",Interior Design & Decoration
Country Employment Agency,"69/A, North Chashara, Narayanganj- 1400, Bangladesh",+88-02-867092,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Country Family Club,"Room # 617, Stock Exchange Building, 9/F, Motijheel C/A, Dhaka- 1000, Bangladesh","+880-2-9552390, 9564601, 7175705-9, 7176840, 7171369",Share & Security Broker House
Country Knitwear (Pvt) Ltd.,"69/A, North Chashara, Narayanganj- 1400, Bangladesh",+88-02-867092,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Country Stock (Bangladesh) Ltd.,"Room # 617, Stock Exchange Building, 9/F, Motijheel C/A, Dhaka- 1000, Bangladesh","+880-2-9552390, 9564601, 7175705-9, 7176840, 7171369",Share & Security Broker House
Country Tourism,"3/3-B, Purana Paltan, 166, Shaheed Syed Nazrul Islam Sharani, Dhaka- 1000, Bangladesh","+88-02-9555289, 9566577, 9551429, 9571507, 9571508, 01711-563249",Manpower Recruiting Agency
Coxs Bazar Overseas,"3/3-B, Purana Paltan, 166, Shaheed Syed Nazrul Islam Sharani, Dhaka- 1000, Bangladesh","+88-02-9555289, 9566577, 9551429, 9571507, 9571508, 01711-563249",Manpower Recruiting Agency
Courier Services Association of Bangladesh,"Sadharan Bima Sadan, 8th floor, 24-25, Dilkusha C/A, Dhaka- 1000, Bangladesh",+88-02-9573106,Associations
Cpm Composite Knit Limited,"41, Satish Sarker Road, Gandaria, Dhaka- 1204, Bangladesh","+88-01723-924247, 01825-998373",Real Estate Firms / Developers
Crafts Villages Ltd.,"House-312, Rd No-2, Society, Adabor, Mohammadpur, Dhaka- 1207, Bangladesh",+88-01724-979415,Mental Health Service
Creation Apartment Ltd.,"41, Satish Sarker Road, Gandaria, Dhaka- 1204, Bangladesh","+88-01723-924247, 01825-998373",Real Estate Firms / Developers
Creation Private Limited,"House # 10, Road # 7, Sector # 7 Uttara, Dhaka- 1230, Bangladesh","+88-02-8950771, 01711-540958",Craft Exporters
CREA,"House-312, Rd No-2, Society, Adabor, Mohammadpur, Dhaka- 1207, Bangladesh",+88-01724-979415,Mental Health Service
Creation Xyz,"Shantinagar Plaza (2nd Floor), 124/4/A, New Kakrail Road, Dhaka- 1000, Bangladesh",+88-01914-858682,Architects
Creative,"Al-Razi Complex(3rd floor), Suite G 302, 166-167, Shaheed Syed Nazrul Islam Sharoni Purana Paltan, Dhaka- 1000, Bangladesh","+88-02-9572112, 01534-338667",Real Estate Firms / Developers
Creative Architecture,"Shantinagar Plaza (2nd Floor), 124/4/A, New Kakrail Road, Dhaka- 1000, Bangladesh",+88-01914-858682,Architects
Creative Assets Developers Limited,"Al-Razi Complex(3rd floor), Suite G 302, 166-167, Shaheed Syed Nazrul Islam Sharoni Purana Paltan, Dhaka- 1000, Bangladesh","+88-02-9572112, 01534-338667",Real Estate Firms / Developers
Creative Canvas,"75 B.S Bhaban(L3-108), Mirpur Road (Science Laboratory), Dhaka- 1205, Bangladesh","+880-2-8624889, 01979-225995",Computer Sales & Distributor
Creative Computers & Communications,"75 B.S Bhaban(L3-108), Mirpur Road (Science Laboratory), Dhaka- 1205, Bangladesh","+880-2-8624889, 01979-225995",Computer Sales & Distributor
Creative Engineers Ltd.,"79 Outer Circular Road . 2nd Floor, Boro Moghbazar, Dhaka- 1217, Bangladesh","+88-01680-795443, 01715-129709",Graphics Design
Creative Designers,"House No-07, Roadno-04, Momtaz Plaza, Level-04, Dhanmondi, Dhaka- 1209, Bangladesh","+880-2-9611726, 01714-134424",Computer Sales & Distributor
Creative Hands,"79 Outer Circular Road . 2nd Floor, Boro Moghbazar, Dhaka- 1217, Bangladesh","+88-01680-795443, 01715-129709",Graphics Design
Creative Engineers Ltd.,"25, Hazi Para (3rd Floor), Rampura, Dhaka- 1219, Bangladesh",+88-02-9564080,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Creative It Limited,"House No-07, Roadno-04, Momtaz Plaza, Level-04, Dhanmondi, Dhaka- 1209, Bangladesh","+880-2-9611726, 01714-134424",Computer Sales & Distributor
Creative Knit Concern,"25, Hazi Para (3rd Floor), Rampura, Dhaka- 1219, Bangladesh",+88-02-9564080,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Creative Scientific Co.,"Darr-E-Shahidi, 69 Agrabad C/A (2nd Fl.), Chittagong- 4100, Bangladesh","+880-31-726594, 726594",Computer Sales & Distributor
Creative Solution,"1046 Shewora Para (1st floor), Dhaka- 1216, Bangladesh","+88-02-8152347, 01716284573, 01552301792",Tour Operators & Promoters
Creative Solution1,"Darr-E-Shahidi, 69 Agrabad C/A (2nd Fl.), Chittagong- 4100, Bangladesh","+880-31-726594, 726594",Computer Sales & Distributor
CREATIVE TOURS AND TRAVELS,"1046 Shewora Para (1st floor), Dhaka- 1216, Bangladesh","+88-02-8152347, 01716284573, 01552301792",Tour Operators & Promoters
Creative Wedding Planner & Event Management,"1/1, Ring Road, Shamoli, Dhaka- 1207, Bangladesh","+88-02-8115402, 8122559, 9120077, 9120048, 9132374, 9122963",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Creatus Computer Ltd.,"13/A House 15, Dhanmondi R/A, Dhaka- 1205, Bangladesh",+88-09666716769,Real Estate Firms / Developers
Creative Woolwear Ltd.,"1/1, Ring Road, Shamoli, Dhaka- 1207, Bangladesh","+88-02-8115402, 8122559, 9120077, 9120048, 9132374, 9122963",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Credence Housing Limited,"13/A House 15, Dhanmondi R/A, Dhaka- 1205, Bangladesh",+88-09666716769,Real Estate Firms / Developers
Crecen Thimum Apparels Ltd.,"96, 97 & 98, Mohakhali C/A, Dhaka- 1212, Bangladesh","+88-9899144, 01711-520422",Petrol Pumps
Credible Technology BD,"96, 97 & 98, Mohakhali C/A, Dhaka- 1212, Bangladesh","+880-2-9899144, 01711-520422","Car / Automobile Distributor, Display & Sales Center"
Crescent Automobiles Ltd.,"96, 97 & 98, Mohakhali C/A, Dhaka- 1212, Bangladesh","+88-9899144, 01711-520422",Petrol Pumps
Crescent Automobiles Ltd.,"96, 97 & 98, Mohakhali C/A, Dhaka- 1212, Bangladesh","+880-2-9899144, 01711-520422","Car / Automobile Distributor, Display & Sales Center"
Crescent Gastroliver & General Hospital Ltd.,"Kazibari Bus Stand, Bhuigor, Signboard, Dhaka- 1430, Bangladesh","+88-01676-335877, +88-01911-906334",Pharmaceutical Machinery & Equipment
Crescent Internation,"Kazibari Bus Stand, Bhuigor, Signboard, Dhaka- 1430, Bangladesh","+88-01676-335877, +88-01911-906334",Pharmaceutical Machinery & Equipment
Crescent Footwear Ltd.,"22/2, Babar Road, Mohammadpur, Dhaka- 1207, Bangladesh","+880-2-9119524, 8119775",Hospital
CRESCENT INTERNATIONAL,"1103/A, 2nd floor, Road No: 1/A (Ring-Road) Adabor, Dhaka- 1207, Bangladesh",+880-2-01711-527014,Electrical Light Fittings & Accessories
Crescent Hospital & Dignostic,"22/2, Babar Road, Mohammadpur, Dhaka- 1207, Bangladesh","+880-2-9119524, 8119775",Hospital
Crescent Network Service,"1103/A, 2nd floor, Road No: 1/A (Ring-Road) Adabor, Dhaka- 1209, Bangladesh",+880-2-01711-527014,Interior Architectural Consultant
CRESCENT QUANTEK LTD,"1103/A, 2nd floor, Road No: 1/A (Ring-Road) Adabor, Dhaka- 1207, Bangladesh",+880-2-01711-527014,Electrical Light Fittings & Accessories
CRESCENT QUANTEK LTD.,"1103/A, 2nd floor, Road No: 1/A (Ring-Road) Adabor, Dhaka- 1209, Bangladesh",+880-2-01711-527014,Interior Architectural Consultant
Crescent Star Ltd.,"175 Nawabpur Road, Dhaka- 1100, Bangladesh",+880-2-9566730,Hardware & Machinery
Crescent Tannery Ltd.,"Crescent Center, 36 Topkhana Road, Dhaka- 1000, Bangladesh","+880-2-9562508, 9562969, 9565476","Electrical Lights, Lamps & Bulbs Manufacturers & Distributors"
Crescent Tools Co.,"175 Nawabpur Road, Dhaka- 1100, Bangladesh",+880-2-9566730,Hardware & Machinery
Crescent Trading Agencies (Pvt.) Ltd.,"116/A, Jalsha Shopping Complex, Jubilee Road, Chittagong- 4000, Bangladesh","+88-02-7193947, 01819-310254, 01919-310254",Manpower Recruiting Agency
Crescent Trading Agencies (Pvt) Ltd.,"Crescent Center, 36 Topkhana Road, Dhaka- 1000, Bangladesh","+880-2-9562508, 9562969, 9565476","Electrical Lights, Lamps & Bulbs Manufacturers & Distributors"
Crescent Travels,"116/A, Jalsha Shopping Complex, Jubilee Road, Chittagong- 4000, Bangladesh","+88-02-7193947, 01819-310254, 01919-310254",Manpower Recruiting Agency
Cresent Gestolever & General Hospital,"Crest Securities Ltd 57 Purana Paltan (2nd floor), Dhaka- 1000, Bangladesh","+880-2-9557072, 9561179, 01713-066086",Share & Security Broker House
Crest Securities Ltd.,"Crest Securities Ltd 57 Purana Paltan (2nd floor), Dhaka- 1000, Bangladesh","+880-2-9557072, 9561179, 01713-066086",Share & Security Broker House
Crest Lifts Ltd.,"68/4 South Mugdapara, Sabujbagh, Dhaka- 1216, Bangladesh","+880-2-7277032, 01919-244000",Computer Sales & Distributor
Creseent Sellection,"135, Dhaka University Market, Katabon, Dhaka- 1000, Bangladesh","+88-01711-958356, 01926-685217",Gift & Novelties
Crest Technologies Ltd.,"68/4 South Mugdapara, Sabujbagh, Dhaka- 1216, Bangladesh","+880-2-7277032, 01919-244000",Computer Sales & Distributor
Crest Gallary,"135, Dhaka University Market, Katabon, Dhaka- 1000, Bangladesh","+88-01711-958356, 01926-685217",Gift & Novelties
Crifoo Intertrade Limited,"Rahman Mansion, Tejgaon Farmgate, Dhaka- 1215, Bangladesh",+88-01855-597152,Online News Portal
Crimson Attires (Pvt) Ltd.,"65/2, Nayamati, Narayanganj- 1400, Bangladesh","+88-02-7613737, 7633726, 7616798",Knit Wears Manufacturers & Exporters [ Knit Garments ]
crimeexpress24.com,"Rahman Mansion, Tejgaon Farmgate, Dhaka- 1215, Bangladesh",+88-01855-597152,Online News Portal
Croatian Chamber of Economy Busniess information exchange,"Road 4, House 7, Block K, Baridhara Model Town, Dhaka- 1229, Bangladesh","+88-02-9883945, 9882686, 01755-563333, 01711-561419, 01713-369929",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Critical Stop,"House # KA-62, Rasel Monjil, Apt. # C2, Sahajadpur, Dhaka- 1212, Bangladesh","+88-02-8817405, 01730-272779",Fire Detection & Protection System Equipment
Crony Apparels Ltd.,"Road 4, House 7, Block K, Baridhara Model Town, Dhaka- 1229, Bangladesh","+88-02-9883945, 9882686, 01755-563333, 01711-561419, 01713-369929",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Crony Crockeries,"Plot 1/B, Road 90, Gulshan -2, Dhaka- 1212, Bangladesh","+880-2-55051703, 55051704, 55051705",Beverage
Cross World Beverage Ltd.,"Plot 1/B, Road 90, Gulshan -2, Dhaka- 1212, Bangladesh","+880-2-55051703, 55051704, 55051705",Beverage
Crifoo Intertrade Ltd.,"House-22, Road-19/A (Ground Floor), Banani, Dhaka- 1213, Bangladesh","+880-2-8817405, 01552-404347",Computer Sales & Distributor
Crony Tex Sweater Ltd,"Satabdi Center (2nd Floor) 292, Inner Circular Road, Fakirapool, Dhaka- 1000, Bangladesh","+88-02-7193293, 01711-832841",Manpower Recruiting Agency
Critical Stop,"House-22, Road-19/A (Ground Floor), Banani, Dhaka- 1213, Bangladesh","+880-2-8817405, 01552-404347",Computer Sales & Distributor
Cross World International Ltd.,"Satabdi Center (2nd Floor) 292, Inner Circular Road, Fakirapool, Dhaka- 1000, Bangladesh","+88-02-7193293, 01711-832841",Manpower Recruiting Agency
Crossline Knit Fabrics Ltd.,"164/1, D.I.T. Extension Road (1st floor), Dhaka- 1000, Bangladesh",+880-2-9347317,Travel Agencies (Air Ticketing & others)
Crossline Factory (Pvt) Ltd.,"40 Gareeb-e-Nawaz Ave, Sector- 13, Dhaka, Bangladesh",+88-02-7913972,Restaurant
Crosswear Industries Limited,"45/1-A, Purana Paltan, Dhaka- 1000, Bangladesh",+880-2-9554734,Travel Agencies (Air Ticketing & others)
Crossworld Travel International,"164/1, D.I.T. Extension Road (1st floor), Dhaka- 1000, Bangladesh",+880-2-9347317,Travel Agencies (Air Ticketing & others)
Crossroads Restaurant & Lounge,"40 Gareeb-e-Nawaz Ave, Sector- 13, Dhaka, Bangladesh",+88-02-7913972,Restaurant
Crown Avaition (Pvt.) Ltd.,"45/1-A, Purana Paltan, Dhaka- 1000, Bangladesh",+880-2-9554734,Travel Agencies (Air Ticketing & others)
Crown Cement,"4, Zahed Plaza, 30 Gulshan Avenue Gulshan-2 C/A, Dhaka- 1212, Bangladesh","+88-02-58810167(O), 01714-010000",Photo Colour Lab
Crown Color Lab & Studio,"4, Zahed Plaza, 30 Gulshan Avenue Gulshan-2 C/A, Dhaka- 1212, Bangladesh","+88-02-58810167(O), 01714-010000",Photo Colour Lab
Crown Electric Company,"House 331, Road 22, Mohakhali DOHS, Dhaka- 1206, Bangladesh",+88- 01708-157979,Construction Machinery & Equipment
Crown Machinery Co. Ltd.,"House 331, Road 22, Mohakhali DOHS, Dhaka- 1206, Bangladesh",+88- 01708-157979,Construction Machinery & Equipment
Crown Melamine Industries Ltd.,"77/8/B, Moulbi Bazer (2nd floor), Dhaka- 1100, Bangladesh","+880-2-7319753, 7312146, 01911-354110",Melamine Industries
Crown Corporation Ltd.,"234,235 Nawabpur Road, Jabin Tower, Dhaka- 1100, Bangladesh",+88-01877-999930,Electrical Industry
Crown Electric Company,"234,235 Nawabpur Road, Jabin Tower, Dhaka- 1100, Bangladesh",+88-01877-999930,Electrical Industry
Crown Trade International,"Eastern View (2nd Floor), 50, D.I.T. Exten. Road, Naya Paltan, Dhaka- 1000, Bangladesh","+88-02-9331104, 9333164, 8614970, 01713-004550",Manpower Recruiting Agency
Crown Sanitary Mart,"CRP, Shapain, Savar, Dhaka- 1243, Bangladesh","+880-2-7710464-5, 7711766",Office Furniture
Crown Photo Co.,"Plot # 9-11, Sector # 1, CEPZ, Chittagong, Bangladesh","+880-31-504795, 741235-6",Companies of EPZ
CRP,"CRP, Shapain, Savar, Dhaka- 1243, Bangladesh","+880-2-7710464-5, 7711766",Office Furniture
Crowntex Mills (BD) Ltd.,"Plot # 9-11, Sector # 1, CEPZ, Chittagong, Bangladesh","+880-31-504795, 741235-6",Companies of EPZ
Crp International,"DR Tower (14th floor), 65/2/2, Box Culvert Road, Purana Paltan, Dhaka- 1000, Bangladesh",+880-2-9571715,Shipping Company / Agents
Cryscal Insurance Company Ltd.,"DR Tower (14th floor), 65/2/2, Box Culvert Road, Purana Paltan, Dhaka- 1000, Bangladesh",+880-2-9571715,Shipping Company / Agents
Crystal Agencies,"Machinery Market (1st floor), 175, Nawabpur Road, Dhaka- 1100, Bangladesh","+880-2-9562722, 9562731",Machinery & Machine Tools
Crystal Company Bangladesh,"Machinery Market (1st floor), 175, Nawabpur Road, Dhaka- 1100, Bangladesh","+880-2-9562722, 9562731",Machinery & Machine Tools
Crystal Design Ltd.,"House # NE (G) 9A, Road # 79, Gulshan-2, Dhaka- 1212, Bangladesh","+880-2-9884378, 9884379, 9884384",Hotel & Motel
Crystal Place,"House # NE (G) 9A, Road # 79, Gulshan-2, Dhaka- 1212, Bangladesh","+880-2-9884378, 9884379, 9884384",Hotel & Motel
Crystal Technology Bangladesh,"House# NE (G) 9A, Road # 79, Gulshan, Dhaka- 1212, Bangladesh","+880-2-98843781, 9884379, 9884384",Management Consultants
Crystal Trading,"House# NE (G) 9A, Road # 79, Gulshan, Dhaka- 1212, Bangladesh","+880-2-98843781, 9884379, 9884384",Management Consultants
CSL Communication Systems LTD.,nan,nan,nan
Crystal Tours and Travels,"R.S. Bhaban (1st floor), 120/A, Motijheel C/A, Dhaka- 1000, Bangladesh","+88-02-9576982-3, 01782-379690",Travel Agencies (Air Ticketing & others)
Csb Travel & Tours,"R.S. Bhaban (1st floor), 120/A, Motijheel C/A, Dhaka- 1000, Bangladesh","+88-02-9576982-3, 01782-379690",Travel Agencies (Air Ticketing & others)
Csl Software Resources Ltd.,"House # 53, Road #. 7, Sector # 4, Uttara Model Town, Dhaka- 1230, Bangladesh","+880-2-8954154, 01819-211484",Computer Sales & Distributor
Crystal Fisheries Ltd.,"DR Tower (14th floor), 65/2/2, Box Culvert Road, Purana Paltan, Dhaka- 1000, Bangladesh",+880-2-9571715,Insurance Companies (General)
CSL SYSTEMS,"House - 585 (1st Fl.), Road # 9, Mirpur DOHS, Mirpur - 12, Dhaka- 1213, Bangladesh",+88-01713-213657,"Fabrics Manufacturers (Industries), Suppliers & Showroom"
CT Impex International,"House - 585 (1st Fl.), Road # 9, Mirpur DOHS, Mirpur - 12, Dhaka- 1213, Bangladesh",+88-01713-213657,"Fabrics Manufacturers (Industries), Suppliers & Showroom"
Crystal Insurance Company Ltd.,"DR Tower (14th floor), 65/2/2, Box Culvert Road, Purana Paltan, Dhaka- 1000, Bangladesh",+880-2-9571715,Insurance Companies (General)
Ct Lab,"2/5-A, 2nd floor, Road # 5, Block-A, Lalmatia, Dhaka- 1207, Bangladesh","+880-2-8122348, 8122283","Marketing Research, Communication & Services"
ctMRS Limited,"2/5-A, 2nd floor, Road # 5, Block-A, Lalmatia, Dhaka- 1207, Bangladesh","+880-2-8122348, 8122283","Marketing Research, Communication & Services"
Cubic Interior Design,"House: 389, 5th Floor, 100 Feet Road, Madani Ave, Dhaka- 1229, Bangladesh",+88-016785-68811,Office Furniture
Cube Pack Ltd.,"House-29, Road-01, Dhaka- 1205, Bangladesh","+88-02-8611228, 8614657, 01730-020000",Construction Consultants & Engineering Firms
Cubic Cabinet Modular Cabinet Expert,"House-29, Road-01, Dhaka- 1205, Bangladesh","+88-02-8611228, 8614657, 01730-020000",Construction Consultants & Engineering Firms
